P31946	Ensembl	ENSG00000166913
P62258	Ensembl	ENSG00000108953
P62258	Ensembl	ENSG00000274474
Q04917	Ensembl	ENSG00000128245
P61981	Ensembl	ENSG00000170027
P31947	Ensembl	ENSG00000175793
P27348	Ensembl	ENSG00000134308
P63104	Ensembl	ENSG00000164924
Q96QU6	Ensembl	ENSG00000110455
Q4AC99	Ensembl	ENSG00000205126
Q15172	Ensembl	ENSG00000066027
Q15173	Ensembl	ENSG00000068971
Q14738	Ensembl	ENSG00000112640
Q16537	Ensembl	ENSG00000154001
Q13362	Ensembl	ENSG00000078304
P30153	Ensembl	ENSG00000105568
P30154	Ensembl	ENSG00000137713
P63151	Ensembl	ENSG00000221914
Q00005	Ensembl	ENSG00000156475
Q66LE6	Ensembl	ENSG00000175470
Q9Y2T4	Ensembl	ENSG00000074211
P14060	Ensembl	ENSG00000203857
P26439	Ensembl	ENSG00000203859
Q9H2F3	Ensembl	ENSG00000099377
Q9Y3L3	Ensembl	ENSG00000100092
P78314	Ensembl	ENSG00000087266
Q7L8J4	Ensembl	ENSG00000175137
O60239	Ensembl	ENSG00000131370
P46952	Ensembl	ENSG00000162882
P31937	Ensembl	ENSG00000106049
P29372	Ensembl	ENSG00000103152
P11171	Ensembl	ENSG00000159023
O60516	Ensembl	ENSG00000243056
Q9NRA8	Ensembl	ENSG00000184708
P08195	Ensembl	ENSG00000168003
P08908	Ensembl	ENSG00000178394
P28222	Ensembl	ENSG00000135312
P28221	Ensembl	ENSG00000179546
P28566	Ensembl	ENSG00000168830
P30939	Ensembl	ENSG00000179097
P28223	Ensembl	ENSG00000102468
P41595	Ensembl	ENSG00000135914
P28335	Ensembl	ENSG00000147246
P46098	Ensembl	ENSG00000166736
O95264	Ensembl	ENSG00000149305
Q8WXA8	Ensembl	ENSG00000178084
Q70Z44	Ensembl	ENSG00000186090
A5X5Y0	Ensembl	ENSG00000186038
Q13639	Ensembl	ENSG00000164270
P47898	Ensembl	ENSG00000157219
P50406	Ensembl	ENSG00000158748
P34969	Ensembl	ENSG00000148680
Q9BXI3	Ensembl	ENSG00000116981
Q96P26	Ensembl	ENSG00000185013
Q9H0P0	Ensembl	ENSG00000122643
Q969T7	Ensembl	ENSG00000141698
P49902	Ensembl	ENSG00000076685
P21589	Ensembl	ENSG00000135318
P52209	Ensembl	ENSG00000142657
O95336	Ensembl	ENSG00000130313
P05408	Ensembl	ENSG00000166922
P05408	Ensembl	ENSG00000277614
P05408	Ensembl	ENSG00000281931
P36639	Ensembl	ENSG00000106268
P0DKL9	Ensembl	ENSG00000268223
Q8IZ83	Ensembl	ENSG00000161618
Q676U5	Ensembl	ENSG00000085978
Q676U5	Ensembl	ENSG00000281089
Q8NAA4	Ensembl	ENSG00000168010
P02763	Ensembl	ENSG00000229314
P19652	Ensembl	ENSG00000228278
P01009	Ensembl	ENSG00000197249
P04217	Ensembl	ENSG00000121410
Q9NQ94	Ensembl	ENSG00000148584
Q5TYW2	Ensembl	ENSG00000260691
Q5SQ80	Ensembl	ENSG00000183148
Q5VUR7	Ensembl	ENSG00000276203
Q4UJ75	Ensembl	ENSG00000172014
P08697	Ensembl	ENSG00000167711
P08697	Ensembl	ENSG00000276838
P02750	Ensembl	ENSG00000171236
P01023	Ensembl	ENSG00000175899
A8K2U0	Ensembl	ENSG00000166535
A7E2S9	Ensembl	ENSG00000163046
U3KPV4	Ensembl	ENSG00000184389
Q9NPC4	Ensembl	ENSG00000128274
Q9UNA3	Ensembl	ENSG00000118017
P05067	Ensembl	ENSG00000142192
Q96GX2	Ensembl	ENSG00000253719
P30542	Ensembl	ENSG00000163485
P29274	Ensembl	ENSG00000128271
P29275	Ensembl	ENSG00000170425
P0DMS8	Ensembl	ENSG00000282608
P22760	Ensembl	ENSG00000114771
Q9NRG9	Ensembl	ENSG00000094914
Q15758	Ensembl	ENSG00000105281
Q86V21	Ensembl	ENSG00000081760
P01011	Ensembl	ENSG00000196136
